Table 3-11:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Electric Power,6.5,6.5 ,6.5 ,6.8 ,6.9 ,7.0 ,7.2 ,7.3 ,7.5 ,7.6 ,8.2 ,8.5 ,10.0 ,11.0 ,12.2 ,13.2,13.2 ,13.4 ,13.5 ,13.3 ,14.7 ,13.7 ,13.1,14.6,15,14.3,14.9
,Coal,6.1,6.0 ,6.1 ,6.3 ,6.5 ,6.5 ,6.7 ,6.8 ,6.9 ,6.9 ,7.4 ,7.5 ,8.6 ,9.5 ,10.4 ,11.1,11.0 ,11.0 ,11.1 ,10.8 ,12.0 ,11.0 ,9.8,11.6,11.9,10.6,11.1
,Fuel Oil,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas,0.3,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.5 ,0.7 ,0.9 ,1.3 ,1.4 ,1.7 ,1.9,2.1 ,2.3 ,2.3 ,2.5 ,2.7 ,2.7 ,3.2,3,3.1,3.6,3.7
,Wood,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Industrial,3.1,3.0 ,3.1 ,3.1 ,3.2 ,3.3 ,3.4 ,3.4 ,3.2 ,3.1 ,3.2 ,3.0 ,2.9 ,2.8 ,3.0 ,3,3.0 ,2.9 ,2.7 ,2.3 ,2.7 ,2.7 ,2.7,2.7,2.7,2.6,2.5
,Coal,0.7,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5,0.5 ,0.5 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4,0.4,0.4,0.3,0.3
,Fuel Oil,0.5,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.4 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6,0.6 ,0.6 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4,0.4,0.4,0.4,0.3
,Natural Gas,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2,0.2,0.3,0.2,0.3
,Wood,1.6,1.6 ,1.7 ,1.7 ,1.8 ,1.9 ,1.9 ,2.0 ,1.8 ,1.8 ,1.9 ,1.6 ,1.6 ,1.5 ,1.7 ,1.6,1.7 ,1.6 ,1.5 ,1.3 ,1.6 ,1.6 ,1.7,1.7,1.7,1.7,1.7
,Commercial,0.4,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.4 ,0.4 ,0.3,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3,0.3,0.3,0.4,0.3
,Coal,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Fuel Oil,0.2,0.2 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.2,0.1
,Natural Gas,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,Wood,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,Residential,1,1.1 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.8 ,0.8 ,0.9 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9,0.8 ,0.8 ,0.9 ,0.9 ,0.8 ,0.8 ,0.7,1,1,0.8,0.7
,Coal,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.0,0.0,0.0,0.0,NO,NO,NO,NO,NO
,Fuel Oil,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2,0.2,0.2,0.2,0.1
,Natural Gas,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,Wood,0.7,0.7 ,0.7 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.5 ,0.5 ,0.5,0.4 ,0.5 ,0.5 ,0.6 ,0.5 ,0.5 ,0.5,0.7,0.7,0.5,0.4
,U.S. Territories,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,Coal,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Fuel Oil,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1,0.1,0.1,0.1,0.1
,Natural Gas,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wood,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,Total,11.1,11.0 ,11.2 ,11.4 ,11.6 ,11.7 ,12.0 ,12.0 ,11.9 ,12.0 ,12.7 ,12.8 ,14.1 ,15.2 ,16.5 ,17.5,17.4 ,17.6 ,17.5 ,17.0 ,18.7 ,17.6 ,16.9,18.7,19,18.1,18.6
,+ Does not exceed 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
