"Source","Sector","SubSector","2002","2003","2004","2005","2006","2007","2008"
"Ore and Mineral Industries","","","15356.47","16284.830000000002","17067.110000000004","17265.879999999997","NaN","NaN","NaN"
"Ore and Mineral Industries","Aluminium Industry","","942.91","868.91","788.26","1190.3999999999999","1230.38","1219.18","1578.55"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","18","14","13.27","12.79","19","18","18"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","924.91","854.91","774.99","1177.61","1211.38","1201.18","1560.55"
"Ore and Mineral Industries","Asphalt Paving Industry","","6298.05","5767.81","5738.61","6106.63","6137.63","6310","6496.4"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","6298.05","5767.81","5738.61","6106.63","6137.63","6310","6496.4"
"Ore and Mineral Industries","Cement and Concrete Industry","","725.5300000000001","721.27","778.1599999999999","1233.56","NaN","445.19","NaN"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","633.6","620.01","645.93","1067.52","707.34","306.5","258.73"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","51.58","30.44","35.64","39.92","37.35","35.44","28.57"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","19.96","61.17","92.32","113.32","103.32","100.57","70.12"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","20.39","9.65","4.27","12.8","0","2.68","0"
"Ore and Mineral Industries","Foundries","","1344.92","1602.5","1503.17","1422.23","969.53","732.5999999999999","953.7"
"Ore and Mineral Industries","Foundries","Die Casting","122.22","116.25","77.14","67.12","3.56","0.03","0.03"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","868.05","1094.33","1110.91","997.63","636.86","423.31","624.33"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","354.65","391.92","315.12","357.48","329.11","309.26","329.34"
"Ore and Mineral Industries","Iron and Steel Industry","","1711.3300000000002","2967.4500000000003","3059.3","2397.73","NaN","NaN","NaN"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","1052.52","1729.86","1895.81","1726.68","1594.43","1224.48","824.77"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","633.82","719.02","653","651.22","701.18","682.3","698.01"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","24.99","518.57","510.49","19.83","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","1164.49","1405.52","1410.12","1604.44","21.11","30.57","59.49"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","1164.49","1405.52","1410.12","1604.44","21.11","30.57","59.49"
"Ore and Mineral Industries","Mineral Products Industry","","428.98","518.3199999999999","219.21","204.71","216.98000000000002","209.70999999999998","NaN"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","16.99","22.34","11.73","11.73","39.59","40.29","0"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","4.94","69.14","67.39","61.39","61.8","62.94","49.78"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","407.05","426.84","140.09","131.59","115.59","106.48","105.2"
"Ore and Mineral Industries","Mining and Rock Quarrying","","2572.67","2378.75","3180.7599999999998","2362.29","1723.1499999999999","NaN","NaN"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","849.18","442.71","442.77","458.61","45.34","80","66.2"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","44.43","14","14","13.3","0.74","0.76","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","595.75","683.1","1484.06","607.17","783.11","730.69","366.32"
