"Source","Sector","SubSector","2009","2010","2011","2012","2013","2014","2015"
"Ore and Mineral Industries","","","NaN","NaN","NaN","NaN","NaN","NaN","81560.01000000001"
"Ore and Mineral Industries","Aluminium Industry","","1260.26","1097.85","1092.63","1351.48","1305.21","1085.85","1142.24"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","576","433","452.3","451","452","264.7","311"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","684.26","664.85","640.33","900.48","853.21","821.15","831.24"
"Ore and Mineral Industries","Asphalt Paving Industry","","1212.62","1497.26","1484.05","1080.26","1041.67","1179.08","930.32"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","1212.62","1497.26","1484.05","1080.26","1041.67","1179.08","930.32"
"Ore and Mineral Industries","Cement and Concrete Industry","","31402.309999999998","33366.770000000004","32371.489999999998","35522.61","32223.72","31284.19","35035.83"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","26464.78","27804.13","26777.91","30551.1","27915.69","26915.77","30786.16"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","90.63","59.4","81.94","66.97","11.97","21.8","27.19"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","193.57","162.32","179.24","209.59","206.88","223.16","176.13"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","4653.33","5340.92","5332.4","4694.95","4089.18","4123.46","4046.35"
"Ore and Mineral Industries","Foundries","","125.81","137.68","NaN","NaN","NaN","NaN","108.04"
"Ore and Mineral Industries","Foundries","Die Casting","0.54","0.69","0.65","0.52","0.01","0","0.43"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","67.83","73.66","87.75","89.66","86.07","96.12","86.2"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","57.44","63.33","0","0","0","0","21.41"
"Ore and Mineral Industries","Iron and Steel Industry","","8769.08","10706.9","11433.529999999999","12139.099999999999","11180.3","11682.65","11041.55"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","6533.03","7988.17","8543.66","8635.31","7853.05","8232.71","7869.88"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","2236.05","2718.73","2889.87","3503.79","3327.25","3449.94","3171.67"
"Ore and Mineral Industries","Iron Ore Pelletizing","","9641","13341.56","12570.14","12086.57","11400.69","10400.31","10714.21"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","9641","13341.56","12570.14","12086.57","11400.69","10400.31","10714.21"
"Ore and Mineral Industries","Mineral Products Industry","","275.78999999999996","236.23000000000002","177.95","259.85","300.83","310.15","293.73"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","123.22","130.55","90.68","113.2","105.48","91.05","100.22"
