"Source","Sector","SubSector","2016","2017","2018","2019","2020","2021","2022"
"Ore and Mineral Industries","","","30341.069999999996","34070.189999999995","33124.16999999999","34792.02","35332.710000000014","36690.78999999999","NaN"
"Ore and Mineral Industries","Aluminium Industry","","3493.33","3435.41","3165.1699999999996","3163.4900000000002","3468.98","3653.38","NaN"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","43.5","42","40.7","22.9","22.4","23","0"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","3400.88","3344.2","3076.83","3088.94","3402.97","3593.98","3599.05"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","48.95","49.21","47.64","51.65","43.61","36.4","36.94"
"Ore and Mineral Industries","Asphalt Paving Industry","","352.41","650.14","619.12","606.78","601.16","687.16","568.69"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","352.41","650.14","619.12","606.78","601.16","687.16","568.69"
"Ore and Mineral Industries","Cement and Concrete Industry","","7229.16","8041.749999999999","7967.96","7787.18","7244.929999999999","8386.91","7863.990000000001"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","792.47","685.65","799.37","687.78","645.12","841.77","846.27"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","5913.11","6825.42","6653.54","6540.34","6088.28","7049.8","6602.42"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","78.33","97.99","86.89","88.29","88.36","72.09","72.06"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","445.25","432.69","428.16","470.77","423.17","423.25","343.24"
"Ore and Mineral Industries","Foundries","","4087.39","4219.460000000001","4186.2699999999995","3990.2000000000003","3741.72","4043.23","4018.29"
"Ore and Mineral Industries","Foundries","Die Casting","9.43","10.85","10.65","8.64","8.27","8.85","10.03"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","4062.03","4192.56","4159.16","3961.8","3716.72","4017.77","3990.45"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","15.93","16.05","16.46","19.76","16.73","16.61","17.81"
"Ore and Mineral Industries","Iron and Steel Industry","","2196.41","2524.66","2661.81","2685.43","2149.54","2295.88","2426.0400000000004"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","1398.35","1361.19","1762.92","1678.05","1310.89","1380.17","1405.65"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","794.91","1160.3","892.23","1000.03","831.61","907.23","1011.32"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","3.15","3.17","6.66","7.35","7.04","8.48","9.07"
"Ore and Mineral Industries","Iron Ore Pelletizing","","895.18","785.26","691.52","786","675.88","626.31","620.28"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","895.18","785.26","691.52","786","675.88","626.31","620.28"
"Ore and Mineral Industries","Mineral Products Industry","","292.77","227.87","286.1","227.26999999999998","225.32","275.72","295.28999999999996"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","25.25","24.98","22.02","21.1","30.28","30.91","32.22"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","5.5","4.03","5.58","3.75","3.08","3.45","4.17"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","262.02","198.86","258.5","202.42","191.96","241.36","258.9"
"Ore and Mineral Industries","Mining and Rock Quarrying","","10052.61","12887.91","12545.75","14900.850000000002","16668.52","16200.6","14262.56"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","2130.31","5093.25","4288.6","7381.01","9199.09","8275.64","6858.86"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","143.29","158.12","184.53","331.56","464","521.61","598.68"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","70.17","68.05","74.26","75.96","53.59","49.01","51.24"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","3633.36","3613.08","3667.28","3449.7","3347.28","3248.14","3172.47"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","1545.69","1558.86","1725.18","1645.7","1662.78","1891.92","1449.24"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","2202.82","2003.68","2173.94","1638.88","1613.36","1834.1","1720.57"
"Ore and Mineral Industries","Mining and Rock Quarrying","Silica Production","11.28","12.71","24.32","20.92","20.23","23.24","22.01"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","315.69","380.16","407.64","357.12","308.19","356.94","389.49"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","1741.8099999999997","1297.73","1000.47","644.8199999999999","556.6600000000001","521.6","545.4"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","1739.59","1294.34","997.36","642.78","555.98","520.91","544.63"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","2.1","3.23","2.77","2.01","0.46","0.6","0.62"
