"Data_provider","Substance","Year","Country","Sector","Cumulative_emissions"
"CAMS","CO",2000,"ALB","HTAPv3_3_Energy",34.999999965
"CAMS","CO",2000,"ALB","HTAPv3_4.1_Industry",1301.64690026954
"CAMS","CO",2000,"ALB","HTAPv3_4.2_Fugitive",73.000000146
"CAMS","CO",2000,"ALB","HTAPv3_4.3_Solvents",0
"CAMS","CO",2000,"ALB","HTAPv3_5.1_Road_Transport",27559.158519014
"CAMS","CO",2000,"ALB","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"ALB","HTAPv3_5.4_Other_ground_transport",1157.999995368
"CAMS","CO",2000,"ALB","HTAPv3_6_Residential",44104.068940173
"CAMS","CO",2000,"ALB","HTAPv3_7_Waste",4762.41332513261
"CAMS","CO",2000,"ALB","HTAPv3_8.1_Agricultural_waste_burning",824.000000824
"CAMS","CO",2000,"ALB","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"ALB","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"AUT","HTAPv3_3_Energy",1925.84517281602
"CAMS","CO",2000,"AUT","HTAPv3_4.1_Industry",194300.224291714
"CAMS","CO",2000,"AUT","HTAPv3_4.2_Fugitive",0
"CAMS","CO",2000,"AUT","HTAPv3_4.3_Solvents",905.56398207526
"CAMS","CO",2000,"AUT","HTAPv3_5.1_Road_Transport",178615.385981735
"CAMS","CO",2000,"AUT","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"AUT","HTAPv3_5.3_Domestic_shipping",62.9378114193362
"CAMS","CO",2000,"AUT","HTAPv3_5.4_Other_ground_transport",44806.6083741096
"CAMS","CO",2000,"AUT","HTAPv3_6_Residential",285994.973660126
"CAMS","CO",2000,"AUT","HTAPv3_7_Waste",7520.92785380086
"CAMS","CO",2000,"AUT","HTAPv3_8.1_Agricultural_waste_burning",9.000000009
"CAMS","CO",2000,"AUT","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"AUT","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"BEL","HTAPv3_3_Energy",4180.6463475775
"CAMS","CO",2000,"BEL","HTAPv3_4.1_Industry",434058.679590335
"CAMS","CO",2000,"BEL","HTAPv3_4.2_Fugitive",255.159156510318
"CAMS","CO",2000,"BEL","HTAPv3_4.3_Solvents",1518.02267364974
"CAMS","CO",2000,"BEL","HTAPv3_5.1_Road_Transport",319083.82327369
"CAMS","CO",2000,"BEL","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"BEL","HTAPv3_5.3_Domestic_shipping",1187.03952187121
"CAMS","CO",2000,"BEL","HTAPv3_5.4_Other_ground_transport",35830.1918429711
"CAMS","CO",2000,"BEL","HTAPv3_6_Residential",78903.4697869095
"CAMS","CO",2000,"BEL","HTAPv3_7_Waste",2311.70063375768
"CAMS","CO",2000,"BEL","HTAPv3_8.1_Agricultural_waste_burning",53.000000053
"CAMS","CO",2000,"BEL","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"BEL","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"BGR","HTAPv3_3_Energy",753.963432246037
"CAMS","CO",2000,"BGR","HTAPv3_4.1_Industry",13106.253625
"CAMS","CO",2000,"BGR","HTAPv3_4.2_Fugitive",63.8761681277523
"CAMS","CO",2000,"BGR","HTAPv3_4.3_Solvents",1072.72396775
"CAMS","CO",2000,"BGR","HTAPv3_5.1_Road_Transport",201247.33261882
"CAMS","CO",2000,"BGR","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"BGR","HTAPv3_5.3_Domestic_shipping",27.1221732999994
"CAMS","CO",2000,"BGR","HTAPv3_5.4_Other_ground_transport",3159.89704750322
"CAMS","CO",2000,"BGR","HTAPv3_6_Residential",130864.673749375
"CAMS","CO",2000,"BGR","HTAPv3_7_Waste",9.03621745949276
"CAMS","CO",2000,"BGR","HTAPv3_8.1_Agricultural_waste_burning",18639.000018639
"CAMS","CO",2000,"BGR","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"BGR","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"BIH","HTAPv3_3_Energy",1611.689562457
"CAMS","CO",2000,"BIH","HTAPv3_4.1_Industry",18590.5974735405
"CAMS","CO",2000,"BIH","HTAPv3_4.2_Fugitive",0
"CAMS","CO",2000,"BIH","HTAPv3_4.3_Solvents",0
"CAMS","CO",2000,"BIH","HTAPv3_5.1_Road_Transport",66752.988916369
"CAMS","CO",2000,"BIH","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"BIH","HTAPv3_5.4_Other_ground_transport",75.8823526376471
"CAMS","CO",2000,"BIH","HTAPv3_6_Residential",228860.046907661
"CAMS","CO",2000,"BIH","HTAPv3_7_Waste",10639.6323620306
"CAMS","CO",2000,"BIH","HTAPv3_8.1_Agricultural_waste_burning",170.00000017
"CAMS","CO",2000,"BIH","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"BIH","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"BLR","HTAPv3_3_Energy",14605.4623509859
"CAMS","CO",2000,"BLR","HTAPv3_4.1_Industry",9812.11768323937
"CAMS","CO",2000,"BLR","HTAPv3_4.2_Fugitive",1067.000002134
"CAMS","CO",2000,"BLR","HTAPv3_4.3_Solvents",0
"CAMS","CO",2000,"BLR","HTAPv3_5.1_Road_Transport",439435.966662534
"CAMS","CO",2000,"BLR","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"BLR","HTAPv3_5.3_Domestic_shipping",44.7457625328813
"CAMS","CO",2000,"BLR","HTAPv3_5.4_Other_ground_transport",100729.747648376
"CAMS","CO",2000,"BLR","HTAPv3_6_Residential",164545.654817335
"CAMS","CO",2000,"BLR","HTAPv3_7_Waste",18040.3048547473
"CAMS","CO",2000,"BLR","HTAPv3_8.1_Agricultural_waste_burning",8087.000008087
"CAMS","CO",2000,"BLR","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"BLR","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"CHE","HTAPv3_3_Energy",1095.07475033621
"CAMS","CO",2000,"CHE","HTAPv3_4.1_Industry",19781.9914686075
"CAMS","CO",2000,"CHE","HTAPv3_4.2_Fugitive",69.73500013947
"CAMS","CO",2000,"CHE","HTAPv3_4.3_Solvents",1590.1011
"CAMS","CO",2000,"CHE","HTAPv3_5.1_Road_Transport",240042.874709969
"CAMS","CO",2000,"CHE","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"CHE","HTAPv3_5.3_Domestic_shipping",1.65247678384102
"CAMS","CO",2000,"CHE","HTAPv3_5.4_Other_ground_transport",44740.186566616
"CAMS","CO",2000,"CHE","HTAPv3_6_Residential",79081.1494331211
"CAMS","CO",2000,"CHE","HTAPv3_7_Waste",2243.2017172663
"CAMS","CO",2000,"CHE","HTAPv3_8.1_Agricultural_waste_burning",1500.94473627539
"CAMS","CO",2000,"CHE","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"CHE","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"CYP","HTAPv3_3_Energy",569.325624508674
"CAMS","CO",2000,"CYP","HTAPv3_4.1_Industry",2380.26988001
"CAMS","CO",2000,"CYP","HTAPv3_4.2_Fugitive",16.55397534175
"CAMS","CO",2000,"CYP","HTAPv3_4.3_Solvents",589.5803663185
"CAMS","CO",2000,"CYP","HTAPv3_5.1_Road_Transport",24328.4406246574
"CAMS","CO",2000,"CYP","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"CYP","HTAPv3_5.4_Other_ground_transport",264.101527743594
"CAMS","CO",2000,"CYP","HTAPv3_6_Residential",518.792372981333
"CAMS","CO",2000,"CYP","HTAPv3_7_Waste",31.5014059180711
"CAMS","CO",2000,"CYP","HTAPv3_8.1_Agricultural_waste_burning",165.000000165
"CAMS","CO",2000,"CYP","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"CYP","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"CZE","HTAPv3_3_Energy",11021.7341519783
"CAMS","CO",2000,"CZE","HTAPv3_4.1_Industry",143282.062866
"CAMS","CO",2000,"CZE","HTAPv3_4.2_Fugitive",0.02500000005
"CAMS","CO",2000,"CZE","HTAPv3_4.3_Solvents",1077.6206614672
"CAMS","CO",2000,"CZE","HTAPv3_5.1_Road_Transport",394566.468472749
"CAMS","CO",2000,"CZE","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"CZE","HTAPv3_5.3_Domestic_shipping",4.71965160105318
"CAMS","CO",2000,"CZE","HTAPv3_5.4_Other_ground_transport",31055.8526091099
"CAMS","CO",2000,"CZE","HTAPv3_6_Residential",490852.697999731
"CAMS","CO",2000,"CZE","HTAPv3_7_Waste",45.6878048172488
"CAMS","CO",2000,"CZE","HTAPv3_8.1_Agricultural_waste_burning",143.000000143
"CAMS","CO",2000,"CZE","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"CZE","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"DEU","HTAPv3_3_Energy",100208.622205395
"CAMS","CO",2000,"DEU","HTAPv3_4.1_Industry",1209281.51621774
"CAMS","CO",2000,"DEU","HTAPv3_4.2_Fugitive",990.843959684097
"CAMS","CO",2000,"DEU","HTAPv3_4.3_Solvents",38172.3555688461
"CAMS","CO",2000,"DEU","HTAPv3_5.1_Road_Transport",2561053.75336156
"CAMS","CO",2000,"DEU","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"DEU","HTAPv3_5.3_Domestic_shipping",10744.2543800898
"CAMS","CO",2000,"DEU","HTAPv3_5.4_Other_ground_transport",346933.009768212
"CAMS","CO",2000,"DEU","HTAPv3_6_Residential",929225.029598391
"CAMS","CO",2000,"DEU","HTAPv3_7_Waste",23080.9771876771
"CAMS","CO",2000,"DEU","HTAPv3_8.1_Agricultural_waste_burning",730.000000729999
"CAMS","CO",2000,"DEU","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"DEU","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"DNK","HTAPv3_3_Energy",10713.2130027594
"CAMS","CO",2000,"DNK","HTAPv3_4.1_Industry",18921.1791742744
"CAMS","CO",2000,"DNK","HTAPv3_4.2_Fugitive",508.718727503524
"CAMS","CO",2000,"DNK","HTAPv3_4.3_Solvents",3590.117556
"CAMS","CO",2000,"DNK","HTAPv3_5.1_Road_Transport",279591.45358219
"CAMS","CO",2000,"DNK","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"DNK","HTAPv3_5.4_Other_ground_transport",56815.2025963908
"CAMS","CO",2000,"DNK","HTAPv3_6_Residential",96338.9755402762
"CAMS","CO",2000,"DNK","HTAPv3_7_Waste",1120.20948476134
"CAMS","CO",2000,"DNK","HTAPv3_8.1_Agricultural_waste_burning",127.000000127
"CAMS","CO",2000,"DNK","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"DNK","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"ESP","HTAPv3_3_Energy",12217.9255443431
"CAMS","CO",2000,"ESP","HTAPv3_4.1_Industry",496256.432000156
"CAMS","CO",2000,"ESP","HTAPv3_4.2_Fugitive",700.979185401958
"CAMS","CO",2000,"ESP","HTAPv3_4.3_Solvents",1183.198624
"CAMS","CO",2000,"ESP","HTAPv3_5.1_Road_Transport",1073829.907331
"CAMS","CO",2000,"ESP","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"ESP","HTAPv3_5.4_Other_ground_transport",49937.1210472515
"CAMS","CO",2000,"ESP","HTAPv3_6_Residential",384142.128517858
"CAMS","CO",2000,"ESP","HTAPv3_7_Waste",411.21503135514
"CAMS","CO",2000,"ESP","HTAPv3_8.1_Agricultural_waste_burning",10634.000010634
"CAMS","CO",2000,"ESP","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"ESP","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"EST","HTAPv3_3_Energy",8249.99999175
"CAMS","CO",2000,"EST","HTAPv3_4.1_Industry",14123.759
"CAMS","CO",2000,"EST","HTAPv3_4.2_Fugitive",200.0000004
"CAMS","CO",2000,"EST","HTAPv3_4.3_Solvents",107.882
"CAMS","CO",2000,"EST","HTAPv3_5.1_Road_Transport",66293.46
"CAMS","CO",2000,"EST","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"EST","HTAPv3_5.4_Other_ground_transport",5434.98297826007
"CAMS","CO",2000,"EST","HTAPv3_6_Residential",103953.914896046
"CAMS","CO",2000,"EST","HTAPv3_7_Waste",8.416999966332
"CAMS","CO",2000,"EST","HTAPv3_8.1_Agricultural_waste_burning",2690.24010982169
"CAMS","CO",2000,"EST","HTAPv3_8.2_Agriculture_livestock",0
"CAMS","CO",2000,"EST","HTAPv3_8.3_Agriculture_crops",0
"CAMS","CO",2000,"FIN","HTAPv3_3_Energy",9130.32357466968
"CAMS","CO",2000,"FIN","HTAPv3_4.1_Industry",61299.3550988445
"CAMS","CO",2000,"FIN","HTAPv3_4.2_Fugitive",0
"CAMS","CO",2000,"FIN","HTAPv3_4.3_Solvents",263.268203
"CAMS","CO",2000,"FIN","HTAPv3_5.1_Road_Transport",288165.584314129
"CAMS","CO",2000,"FIN","HTAPv3_5.2_Brake_and_Tyre_wear",0
"CAMS","CO",2000,"FIN","HTAPv3_5.3_Domestic_shipping",16.5247678384102
"CAMS","CO",2000,"FIN","HTAPv3_5.4_Other_ground_transport",82944.4616203041
