Year,Month,Species,HTAP Sector, Emissions (megagrams) , Country 
2002,1,CO,HTAP_2.1_Domestic_Aviation," 37,674.62 ",USA
2002,1,CO,HTAP_3_Energy," 48,381.65 ",USA
2002,1,CO,HTAP_4.1_Industry," 247,712.73 ",USA
2002,1,CO,HTAP_4.2_Fugitive," 60,751.99 ",USA
2002,1,CO,HTAP_4.3_Solvents, 131.55 ,USA
2002,1,CO,HTAP_5.1_Road_Transport," 4,042,873.53 ",USA
2002,1,CO,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,1,CO,HTAP_5.3_Domestic_shipping," 1,627.37 ",USA
2002,1,CO,HTAP_5.4_Other_ground_transport," 7,854.54 ",USA
2002,1,CO,HTAP_6_Residential," 1,314,649.53 ",USA
2002,1,CO,HTAP_7_Waste," 116,948.88 ",USA
2002,1,CO,HTAP_8.1_Agricultural_waste_burning," 29,667.93 ",USA
2002,1,CO,HTAP_8.2_Agriculture_livestock, -   ,USA
2002,1,CO,HTAP_8.3_Agriculture_crops," 1,094.99 ",USA
2002,1,CO,HTAP_9_Fires," 258,841.91 ",USA
2002,1,CO,USA_Total," 6,168,211.21 ",USA
2002,1,EC,HTAP_2.1_Domestic_Aviation, 243.99 ,USA
2002,1,EC,HTAP_3_Energy," 1,645.67 ",USA
2002,1,EC,HTAP_4.1_Industry," 1,471.05 ",USA
2002,1,EC,HTAP_4.2_Fugitive, 121.31 ,USA
2002,1,EC,HTAP_4.3_Solvents, 0.03 ,USA
2002,1,EC,HTAP_5.1_Road_Transport," 12,858.60 ",USA
2002,1,EC,HTAP_5.2_Brake_and_Tyre_wear, 119.36 ,USA
2002,1,EC,HTAP_5.3_Domestic_shipping, 237.87 ,USA
2002,1,EC,HTAP_5.4_Other_ground_transport," 1,759.07 ",USA
2002,1,EC,HTAP_6_Residential," 8,857.29 ",USA
2002,1,EC,HTAP_7_Waste," 1,854.61 ",USA
2002,1,EC,HTAP_8.1_Agricultural_waste_burning, 166.70 ,USA
2002,1,EC,HTAP_8.2_Agriculture_livestock, 279.23 ,USA
2002,1,EC,HTAP_8.3_Agriculture_crops, 15.98 ,USA
2002,1,EC,HTAP_9_Fires, 919.10 ,USA
2002,1,EC,USA_Total," 30,549.87 ",USA
2002,1,NH3,HTAP_2.1_Domestic_Aviation, -   ,USA
2002,1,NH3,HTAP_3_Energy," 2,242.41 ",USA
2002,1,NH3,HTAP_4.1_Industry," 10,979.36 ",USA
2002,1,NH3,HTAP_4.2_Fugitive, 253.82 ,USA
2002,1,NH3,HTAP_4.3_Solvents, -   ,USA
2002,1,NH3,HTAP_5.1_Road_Transport," 11,666.04 ",USA
2002,1,NH3,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,1,NH3,HTAP_5.3_Domestic_shipping, 5.94 ,USA
2002,1,NH3,HTAP_5.4_Other_ground_transport, 24.38 ,USA
2002,1,NH3,HTAP_6_Residential," 3,435.00 ",USA
2002,1,NH3,HTAP_7_Waste," 1,388.37 ",USA
2002,1,NH3,HTAP_8.1_Agricultural_waste_burning," 8,363.79 ",USA
2002,1,NH3,HTAP_8.2_Agriculture_livestock," 60,779.72 ",USA
2002,1,NH3,HTAP_8.3_Agriculture_crops, -   ,USA
2002,1,NH3,HTAP_9_Fires," 4,258.09 ",USA
2002,1,NH3,USA_Total," 103,396.91 ",USA
2002,1,NOX,HTAP_2.1_Domestic_Aviation," 8,604.27 ",USA
2002,1,NOX,HTAP_3_Energy," 372,360.22 ",USA
2002,1,NOX,HTAP_4.1_Industry," 194,270.25 ",USA
2002,1,NOX,HTAP_4.2_Fugitive," 54,261.51 ",USA
2002,1,NOX,HTAP_4.3_Solvents, 43.94 ,USA
2002,1,NOX,HTAP_5.1_Road_Transport," 909,582.05 ",USA
2002,1,NOX,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,1,NOX,HTAP_5.3_Domestic_shipping," 11,506.83 ",USA
2002,1,NOX,HTAP_5.4_Other_ground_transport," 63,822.34 ",USA
2002,1,NOX,HTAP_6_Residential," 206,218.01 ",USA
2002,1,NOX,HTAP_7_Waste," 4,742.90 ",USA
2002,1,NOX,HTAP_8.1_Agricultural_waste_burning," 1,408.19 ",USA
2002,1,NOX,HTAP_8.2_Agriculture_livestock, -   ,USA
2002,1,NOX,HTAP_8.3_Agriculture_crops, 42.26 ,USA
2002,1,NOX,HTAP_9_Fires," 4,581.51 ",USA
2002,1,NOX,USA_Total," 1,831,444.29 ",USA
2002,1,OC,HTAP_2.1_Domestic_Aviation, 133.81 ,USA
2002,1,OC,HTAP_3_Energy," 1,883.15 ",USA
2002,1,OC,HTAP_4.1_Industry," 11,033.87 ",USA
2002,1,OC,HTAP_4.2_Fugitive, 501.48 ,USA
2002,1,OC,HTAP_4.3_Solvents, 50.81 ,USA
2002,1,OC,HTAP_5.1_Road_Transport," 13,210.21 ",USA
2002,1,OC,HTAP_5.2_Brake_and_Tyre_wear, 307.73 ,USA
2002,1,OC,HTAP_5.3_Domestic_shipping, 54.16 ,USA
2002,1,OC,HTAP_5.4_Other_ground_transport, 400.54 ,USA
2002,1,OC,HTAP_6_Residential," 26,704.88 ",USA
2002,1,OC,HTAP_7_Waste," 6,632.76 ",USA
2002,1,OC,HTAP_8.1_Agricultural_waste_burning, 593.69 ,USA
2002,1,OC,HTAP_8.2_Agriculture_livestock," 1,722.43 ",USA
2002,1,OC,HTAP_8.3_Agriculture_crops, 849.44 ,USA
2002,1,OC,HTAP_9_Fires," 10,893.64 ",USA
2002,1,OC,USA_Total," 74,972.60 ",USA
2002,1,PM10,HTAP_2.1_Domestic_Aviation, 820.40 ,USA
2002,1,PM10,HTAP_3_Energy," 45,807.56 ",USA
2002,1,PM10,HTAP_4.1_Industry," 149,154.30 ",USA
2002,1,PM10,HTAP_4.2_Fugitive," 3,413.16 ",USA
2002,1,PM10,HTAP_4.3_Solvents, 117.48 ,USA
2002,1,PM10,HTAP_5.1_Road_Transport," 815,051.44 ",USA
2002,1,PM10,HTAP_5.2_Brake_and_Tyre_wear," 8,300.51 ",USA
2002,1,PM10,HTAP_5.3_Domestic_shipping, 317.54 ,USA
2002,1,PM10,HTAP_5.4_Other_ground_transport," 2,356.72 ",USA
2002,1,PM10,HTAP_6_Residential," 63,197.23 ",USA
2002,1,PM10,HTAP_7_Waste," 19,518.97 ",USA
2002,1,PM10,HTAP_8.1_Agricultural_waste_burning," 3,255.90 ",USA
2002,1,PM10,HTAP_8.2_Agriculture_livestock," 27,654.28 ",USA
2002,1,PM10,HTAP_8.3_Agriculture_crops," 137,923.82 ",USA
2002,1,PM10,HTAP_9_Fires," 27,211.56 ",USA
2002,1,PM10,USA_Total," 1,304,100.87 ",USA
2002,1,PM2_5,HTAP_2.1_Domestic_Aviation, 708.52 ,USA
2002,1,PM2_5,HTAP_3_Energy," 37,275.45 ",USA
2002,1,PM2_5,HTAP_4.1_Industry," 53,949.49 ",USA
2002,1,PM2_5,HTAP_4.2_Fugitive," 2,993.04 ",USA
2002,1,PM2_5,HTAP_4.3_Solvents, 85.43 ,USA
2002,1,PM2_5,HTAP_5.1_Road_Transport," 117,085.31 ",USA
2002,1,PM2_5,HTAP_5.2_Brake_and_Tyre_wear," 1,411.05 ",USA
2002,1,PM2_5,HTAP_5.3_Domestic_shipping, 308.45 ,USA
2002,1,PM2_5,HTAP_5.4_Other_ground_transport," 2,280.96 ",USA
2002,1,PM2_5,HTAP_6_Residential," 58,433.86 ",USA
2002,1,PM2_5,HTAP_7_Waste," 17,488.32 ",USA
2002,1,PM2_5,HTAP_8.1_Agricultural_waste_burning," 1,529.34 ",USA
2002,1,PM2_5,HTAP_8.2_Agriculture_livestock," 5,411.40 ",USA
2002,1,PM2_5,HTAP_8.3_Agriculture_crops," 27,514.54 ",USA
2002,1,PM2_5,HTAP_9_Fires," 23,060.06 ",USA
2002,1,PM2_5,USA_Total," 349,535.22 ",USA
2002,1,SO2,HTAP_2.1_Domestic_Aviation," 1,104.03 ",USA
2002,1,SO2,HTAP_3_Energy," 788,080.00 ",USA
2002,1,SO2,HTAP_4.1_Industry," 188,311.16 ",USA
2002,1,SO2,HTAP_4.2_Fugitive," 33,590.40 ",USA
2002,1,SO2,HTAP_4.3_Solvents, 101.27 ,USA
2002,1,SO2,HTAP_5.1_Road_Transport," 16,471.40 ",USA
2002,1,SO2,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,1,SO2,HTAP_5.3_Domestic_shipping," 14,347.08 ",USA
2002,1,SO2,HTAP_5.4_Other_ground_transport," 11,300.40 ",USA
2002,1,SO2,HTAP_6_Residential," 73,559.90 ",USA
2002,1,SO2,HTAP_7_Waste," 1,939.91 ",USA
2002,1,SO2,HTAP_8.1_Agricultural_waste_burning, 657.19 ,USA
2002,1,SO2,HTAP_8.2_Agriculture_livestock, -   ,USA
2002,1,SO2,HTAP_8.3_Agriculture_crops, 178.98 ,USA
2002,1,SO2,HTAP_9_Fires," 2,240.11 ",USA
2002,1,SO2,USA_Total," 1,131,881.81 ",USA
2002,1,VOC,HTAP_2.1_Domestic_Aviation," 4,050.08 ",USA
2002,1,VOC,HTAP_3_Energy," 3,621.69 ",USA
2002,1,VOC,HTAP_4.1_Industry," 68,784.33 ",USA
2002,1,VOC,HTAP_4.2_Fugitive," 250,059.66 ",USA
2002,1,VOC,HTAP_4.3_Solvents," 267,790.59 ",USA
2002,1,VOC,HTAP_5.1_Road_Transport," 321,731.27 ",USA
2002,1,VOC,HTAP_5.2_Brake_and_Tyre_wear, 84.21 ,USA
2002,1,VOC,HTAP_5.3_Domestic_shipping, 422.33 ,USA
2002,1,VOC,HTAP_5.4_Other_ground_transport," 3,853.13 ",USA
2002,1,VOC,HTAP_6_Residential," 199,694.87 ",USA
2002,1,VOC,HTAP_7_Waste," 14,178.45 ",USA
2002,1,VOC,HTAP_8.1_Agricultural_waste_burning," 3,910.43 ",USA
2002,1,VOC,HTAP_8.2_Agriculture_livestock," 5,747.37 ",USA
2002,1,VOC,HTAP_8.3_Agriculture_crops, 43.54 ,USA
2002,1,VOC,HTAP_9_Fires," 61,194.10 ",USA
2002,1,VOC,USA_Total," 1,205,166.05 ",USA
2002,2,CO,HTAP_2.1_Domestic_Aviation," 36,411.89 ",USA
2002,2,CO,HTAP_3_Energy," 42,080.79 ",USA
2002,2,CO,HTAP_4.1_Industry," 223,874.16 ",USA
2002,2,CO,HTAP_4.2_Fugitive," 53,661.90 ",USA
2002,2,CO,HTAP_4.3_Solvents, 118.82 ,USA
2002,2,CO,HTAP_5.1_Road_Transport," 3,939,952.96 ",USA
2002,2,CO,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,2,CO,HTAP_5.3_Domestic_shipping," 1,635.58 ",USA
2002,2,CO,HTAP_5.4_Other_ground_transport," 7,158.50 ",USA
2002,2,CO,HTAP_6_Residential," 1,258,065.72 ",USA
2002,2,CO,HTAP_7_Waste," 114,132.33 ",USA
2002,2,CO,HTAP_8.1_Agricultural_waste_burning," 23,875.18 ",USA
2002,2,CO,HTAP_8.2_Agriculture_livestock, -   ,USA
2002,2,CO,HTAP_8.3_Agriculture_crops, 989.03 ,USA
2002,2,CO,HTAP_9_Fires," 640,750.38 ",USA
2002,2,CO,USA_Total," 6,342,707.24 ",USA
2002,2,EC,HTAP_2.1_Domestic_Aviation, 235.81 ,USA
2002,2,EC,HTAP_3_Energy," 1,456.35 ",USA
2002,2,EC,HTAP_4.1_Industry," 1,328.73 ",USA
2002,2,EC,HTAP_4.2_Fugitive, 106.86 ,USA
2002,2,EC,HTAP_4.3_Solvents, 0.02 ,USA
2002,2,EC,HTAP_5.1_Road_Transport," 12,481.73 ",USA
2002,2,EC,HTAP_5.2_Brake_and_Tyre_wear, 117.90 ,USA
2002,2,EC,HTAP_5.3_Domestic_shipping, 238.79 ,USA
2002,2,EC,HTAP_5.4_Other_ground_transport," 1,602.78 ",USA
2002,2,EC,HTAP_6_Residential," 8,386.98 ",USA
2002,2,EC,HTAP_7_Waste," 1,766.98 ",USA
2002,2,EC,HTAP_8.1_Agricultural_waste_burning, 153.21 ,USA
2002,2,EC,HTAP_8.2_Agriculture_livestock, 247.55 ,USA
2002,2,EC,HTAP_8.3_Agriculture_crops, 14.45 ,USA
2002,2,EC,HTAP_9_Fires," 2,355.29 ",USA
2002,2,EC,USA_Total," 30,493.43 ",USA
2002,2,NH3,HTAP_2.1_Domestic_Aviation, -   ,USA
2002,2,NH3,HTAP_3_Energy," 2,010.93 ",USA
2002,2,NH3,HTAP_4.1_Industry," 9,922.69 ",USA
2002,2,NH3,HTAP_4.2_Fugitive, 228.90 ,USA
2002,2,NH3,HTAP_4.3_Solvents, -   ,USA
2002,2,NH3,HTAP_5.1_Road_Transport," 11,504.37 ",USA
2002,2,NH3,HTAP_5.2_Brake_and_Tyre_wear, -   ,USA
2002,2,NH3,HTAP_5.3_Domestic_shipping, 5.96 ,USA
2002,2,NH3,HTAP_5.4_Other_ground_transport, 22.22 ,USA
2002,2,NH3,HTAP_6_Residential," 3,020.27 ",USA
2002,2,NH3,HTAP_7_Waste," 1,254.65 ",USA
2002,2,NH3,HTAP_8.1_Agricultural_waste_burning," 6,287.97 ",USA
2002,2,NH3,HTAP_8.2_Agriculture_livestock," 55,883.36 ",USA
2002,2,NH3,HTAP_8.3_Agriculture_crops, -   ,USA
