"Category","1.A Fuel Combustion - Sectoral Approach"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","559.24","559.24","562.11","553.84","556.54","551.90","575.59","593.44","629.59","624.71","636.92","676.04","698.31","729.72","769.07","753.47","738.43","782.71","759.13","791.46","774.74","762.30","736.36","724.20"
"Austria","70.10","70.10","68.25","51.42","49.93","45.12","44.50","42.19","38.80","34.27","32.44","30.40","31.34","29.83","30.56","25.96","25.72","26.40","23.30","20.98","15.56","17.11","16.55","15.75"
"Belarus","1,059.39","1,059.39","981.54","752.23","610.00","517.21","449.25","421.38","342.48","318.52","267.63","142.68","144.15","127.54","109.56","100.57","83.75","92.52","114.17","121.46","219.64","88.92","114.62","125.21"
"Belgium","321.62","321.62","323.93","320.93","303.95","250.96","234.81","222.38","198.88","187.09","148.57","149.52","145.51","135.68","134.81","138.37","124.61","116.45","104.84","72.23","50.01","42.18","33.93","31.85"
"Bulgaria","1,806.53","1,565.49","1,226.92","1,251.45","1,226.00","1,211.00","1,213.60","1,292.18","1,351.86","1,314.36","1,113.26","1,090.77","1,226.06","1,114.39","1,266.73","1,217.29","1,141.08","1,135.55","1,267.96","1,222.04","1,144.89","1,220.51","1,502.75","1,318.02"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","169.04","169.04","99.49","104.78","106.22","104.13","78.83","61.63","74.53","94.79","91.79","56.38","58.72","62.63","62.55","51.53","58.32","55.13","61.90","51.87","54.28","31.66","28.59","20.85"
"Cyprus","29.64","29.64","30.89","35.70","37.86","40.35","37.30","39.39","41.52","44.83","47.15","46.12","43.19","43.51","44.62","38.30","35.45","28.94","26.86","21.58","17.05","21.89","20.93","16.08"
"Czech Republic","1,853.89","1,853.89","1,751.40","1,538.11","1,454.10","1,270.09","1,074.13","919.17","965.51","424.74","253.19","238.16","245.48","230.59","229.41","226.25","216.60","205.65","207.20","167.29","167.07","165.05","159.36","145.58"
"Denmark","172.05","172.05","231.61","178.15","143.75","144.58","135.46","170.16","98.49","75.55","54.66","28.39","26.79","25.26","32.46","25.79","22.16","25.42","22.22","17.56","13.44","13.26","12.10","10.82"
"Estonia","182.77","182.77","178.21","105.48","66.31","71.79","75.53","84.92","81.67","73.23","71.82","79.52","81.52","78.12","79.28","83.26","80.10","78.24","82.15","75.71","63.03","73.74","70.60","68.49"
"European Union (15)","15,543.78","15,543.78","14,210.88","13,072.86","11,822.92","10,666.56","9,419.79","8,440.29","7,667.40","7,158.77","6,374.05","5,605.20","5,342.29","5,133.07","4,694.87","4,430.10","4,080.70","3,873.74","3,655.81","2,629.54","2,272.81","2,055.24","1,969.47","1,922.96"
"European Union (28)","22,027.75","22,027.75","20,020.29","18,376.88","16,865.52","15,327.07","13,762.28","12,698.92","11,923.08","10,637.07","9,349.28","8,343.22","8,163.94","7,703.29","7,418.11","6,925.92","6,426.04","6,209.16","5,987.62","4,850.15","4,306.92","4,071.47","4,243.44","3,913.80"
"Finland","186.98","186.98","154.54","125.16","110.77","98.98","83.48","89.77","82.43","74.41","72.16","64.73","74.94","73.68","87.35","71.23","54.43","67.00","64.64","50.18","45.55","52.87","47.20","39.22"
"France","1,216.01","1,216.01","1,353.02","1,178.00","1,029.33","995.60","930.56","904.55","759.23","793.89","674.58","580.37","526.51","487.98","480.10","453.87","428.05","408.81","399.98","335.36","295.45","278.63","241.41","240.64"
"Germany","5,064.04","5,064.04","3,799.57","3,088.55","2,749.20","2,286.91","1,617.01","1,358.92","1,121.39","883.10","707.21","521.55","508.78","449.95","422.45","384.91","368.08","374.97","357.13","360.10","330.77","343.68","335.54","338.29"
"Greece","461.01","461.01","501.57","518.47","514.47","507.99","525.14","516.25","514.21","519.81","538.31","479.35","488.72","498.43","536.35","532.64","523.23","515.73","518.64","426.29","407.35","253.53","249.62","230.29"
"Hungary","","822.28","822.84","708.37","722.00","632.96","616.04","614.56","628.23","564.63","554.15","420.54","340.31","275.22","246.31","149.16","41.47","39.45","35.22","35.47","29.81","31.23","34.08","30.81"
"Iceland","4.70","4.70","4.54","5.52","5.72","5.27","5.41","5.69","5.64","4.93","4.21","3.54","4.22","4.31","3.42","3.04","3.04","3.29","4.25","3.13","3.28","2.98","2.74","2.71"
"Ireland","182.24","182.24","180.61","169.11","160.11","174.94","160.86","148.64","166.07","177.31","158.61","139.45","134.11","101.21","79.03","71.89","71.52","60.78","54.45","45.13","32.30","26.19","24.58","23.12"
"Italy","1,630.34","1,630.34","1,516.12","1,424.38","1,316.78","1,241.07","1,189.55","1,132.37","1,058.60","915.73","834.34","693.16","631.03","550.48","457.00","419.92","335.76","320.44","271.89","225.61","181.43","162.30","144.33","138.04"
"Japan","1,181.16","1,181.16","1,172.78","1,139.07","1,086.04","1,136.51","1,124.44","1,097.18","1,123.36","1,100.08","1,113.85","1,107.93","1,104.48","1,102.76","1,078.60","1,035.67","1,013.16","987.43","962.40","920.73","889.55","884.14","875.25","868.99"
"Latvia","97.68","97.68","81.33","70.48","67.06","66.44","48.06","53.43","41.36","37.12","28.64","14.70","11.19","9.71","7.51","5.36","5.16","4.07","3.87","2.79","2.38","3.11","2.54","1.93"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","204.48","204.48","225.78","120.70","112.96","108.41","85.27","85.57","77.31","91.43","66.90","41.39","45.09","43.63","35.76","35.73","37.53","38.88","31.49","27.57","26.72","26.05","23.26","31.19"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","15.78","15.78","17.84","19.72","20.40","23.93","27.17","28.71","29.82","30.93","27.99","24.43","26.07","25.34","27.53","11.96","12.31","12.38","12.76","11.68","8.27","7.76","7.88","8.25"
"Monaco","0.07","0.07","0.07","0.07","0.07","0.06","0.06","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.03","0.03","0.02","0.02","0.02","0.01","0.01"
"Netherlands","178.32","178.32","159.68","149.28","138.46","126.87","124.37","103.16","91.00","90.77","143.92","69.52","70.43","58.96","61.38","64.03","62.08","61.82","58.27","49.01","35.77","32.65","32.52","32.93"
"New Zealand","46.42","46.42","44.12","49.12","46.69","47.18","51.69","49.74","49.63","49.16","52.12","56.10","60.57","62.23","75.60","72.93","78.21","74.50","66.21","70.34","59.25","57.70","57.11","62.70"
"Norway","21.70","21.70","18.91","16.45","14.66","13.63","11.81","12.88","12.07","12.33","11.68","10.35","10.71","9.64","10.93","10.38","9.84","10.35","9.59","8.70","7.52","8.45","7.39","6.47"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","309.92","309.92","303.58","367.39","309.41","287.08","317.67","257.13","271.89","318.31","284.53","244.77","232.35","232.33","171.62","173.34","176.00","153.41","144.54","97.37","68.55","58.62","53.87","48.98"
"Romania","1,079.16","820.36","746.43","769.36","714.18","705.47","719.81","736.54","643.71","511.71","453.23","508.12","552.30","523.89","561.20","533.68","590.71","634.63","518.75","523.52","446.77","356.81","345.57","281.79"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","524.13","524.13","443.93","388.27","326.96","243.88","244.84","229.12","203.20","182.55","172.96","126.94","131.10","103.32","105.47","96.18","89.01","87.75","70.56","69.40","64.08","69.38","68.48","58.52"
"Slovenia","246.64","198.44","184.35","191.61","188.55","182.08","121.90","113.41","116.97","107.98","94.17","90.94","60.63","59.87","56.89","47.14","37.61","14.75","13.08","11.68","9.76","9.05","9.93","9.34"
"Spain","2,085.43","2,085.43","2,111.87","2,079.40","1,922.47","1,893.90","1,761.53","1,543.27","1,683.22","1,515.88","1,531.68","1,423.41","1,382.12","1,512.85","1,248.28","1,275.99","1,223.19","1,117.59","1,090.73","472.31","420.69","386.07","418.72","369.04"
"Sweden","66.98","66.98","66.37","58.98","48.09","48.30","40.78","39.58","32.30","31.81","27.10","21.92","22.40","22.43","23.74","22.37","21.06","19.69","16.82","15.77","17.04","18.64","15.76","14.85"
"Switzerland","38.28","38.28","34.56","31.32","25.10","26.35","24.99","24.41","22.75","21.28","15.93","14.39","16.85","14.67","14.06","14.03","14.61","13.76","11.90","12.33","10.67","11.03","9.24","9.47"
"Turkey","810.80","810.80","876.30","868.72","818.34","1,041.62","1,059.65","1,168.76","1,224.00","1,350.67","1,327.57","1,421.91","1,409.71","1,103.15","859.47","793.70","860.57","954.30","973.17","1,040.67","789.19","442.57","654.07","212.65"
"Ukraine","","","","","","","","","","1,598.13","1,545.63","1,368.89","1,369.64","1,358.63","1,378.55","1,292.31","1,320.48","1,503.93","1,440.21","1,419.02","1,301.26","1,381.54","1,616.27","1,596.95"
"United Kingdom of Great Britain and Northern Ireland","3,631.85","3,631.85","3,475.30","3,399.79","3,062.89","2,600.60","2,290.95","1,948.07","1,584.56","1,574.16","1,198.37","1,188.36","1,093.54","979.87","953.69","794.51","669.42","628.79","551.97","461.26","379.17","393.14","369.34","413.38"
"United States of America","19,237.89","19,237.89","18,766.02","18,466.80","18,235.69","17,878.80","15,437.68","15,421.43","15,790.13","15,882.90","14,648.65","13,509.36","13,114.16","12,549.21","12,351.34","12,153.48","12,169.39","10,927.77","9,686.15","8,524.05","7,453.50","6,290.81","5,171.17","4,012.59"
