inv_sector,scaling_sector,ceds_sector
Abrasives Manufacture,industry,
Aluminum Industry,process_Al,process_Al
Asbestos Industry,industry,
Asphalt Paving Industry,industry,
Bakeries,industry,process_SAcidProduction
Cement and Concrete Industry,industry,industry_comb
Chemicals Industry,industry,industry_minerals
Mineral Products Industry,industry,
Foundries,industry,
Grain Industries,industry,
Iron and Steel Industries,industry,
Iron Ore Mining Industry,industry,
Mining and Rock Quarrying,industry,
Non-Ferrous Smelting and Refining Industry,process_Smelting,process_Smelting
Pulp and Paper Industry,process_PulpPaper,process_PulpPaper
Wood Industry,industry,
Upstream Petroleum Industry,oil_production,oil_production
Downstream Petroleum Industry,energytrans,energytrans_petr_refin
Petroleum Product Transportation and Distribution,energytrans,
Other Industries,industry,
Commercial Fuel Combustion,rescom_buildings,rescom_buildings
Electric Power Generation (Utilities),energytrans,energytrans_electricity_gen
Residential Fuel Combustion,rescom_buildings,
Residential Fuel Wood Combustion,rescom_buildings,
Air Transportation,transportation,transp_domestic_air
Heavy-duty diesel vehicles,transportation,transp_domestic_ship
Heavy-duty gasoline trucks,transportation,transp_road
Light-duty diesel trucks,transportation,transp_rail
Light-duty diesel vehicles,transportation,transp_unspecified
Light-duty gasoline trucks,transportation,transp_international_ship
Light-duty gasoline vehicles,transportation,transp_international_air
Marine Transportation,transportation,
Motorcycles,transportation,
Off-road use of diesel,industry_agriculture,industry_agriculture
Off-road use of gasoline/LPG/CNG,industry_agriculture,industry_agriculture
Rail Transportation,transportation,
Tire wear & Brake Lining,,
Crematorium,,
Industrial & Commercial Incineration,,coal_production
Municipal Incineration,,natural_gas_production
Other Incineration & Utilities,,oil_production
Cigarette Smoking,,energytrans_heat_gen
Dry Cleaning,industry,energytrans_other
General Solvent Use,,energytrans_coke_ovens
Marine Cargo Handling Industry,transportation,coal_production
Meat Cooking,,natural_gas_production
Refined Petroleum Products Retail,energytrans,unc_oil_production
Printing,industry,unc_gas_production
Structural Fires,,
Surface Coatings,,
Human,,
Other Miscellaneous Sources,misc,process_Other
Agriculture,industry_agriculture,
Construction Operations,industry,
Dust from Paved Roads,,
Dust from Unpaved Roads,,
Waste,,
Mine Tailings,,
Prescribed Burning,,
Natural Sources,,
"Biogenics (Vegetation,soils)",,
Forest Fires,,
