FLOW,PRODUCT,activity,fuel,comment,Detailed_activity
MAINELEC,Gas works gas (TJ-gross),gas_works_gas,process,,
MAINELEC,Coke oven gas (TJ-gross),coke_oven_gas,process,,
MAINELEC,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
MAINELEC,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
AUTOELEC,Gas works gas (TJ-gross),gas_works_gas,process,,
AUTOELEC,Coke oven gas (TJ-gross),coke_oven_gas,process,,
AUTOELEC,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
AUTOELEC,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
MAINCHP,Gas works gas (TJ-gross),gas_works_gas,process,,
MAINCHP,Coke oven gas (TJ-gross),coke_oven_gas,process,,
MAINCHP,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
MAINCHP,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
AUTOCHP,Gas works gas (TJ-gross),gas_works_gas,process,,
AUTOCHP,Coke oven gas (TJ-gross),coke_oven_gas,process,,
AUTOCHP,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
AUTOCHP,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
MAINHEAT,Gas works gas (TJ-gross),gas_works_gas,process,,
MAINHEAT,Coke oven gas (TJ-gross),coke_oven_gas,process,,
MAINHEAT,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
MAINHEAT,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
AUTOHEAT,Gas works gas (TJ-gross),gas_works_gas,process,,
AUTOHEAT,Coke oven gas (TJ-gross),coke_oven_gas,process,,
AUTOHEAT,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
AUTOHEAT,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
THEAT,Gas works gas (TJ-gross),gas_works_gas,process,,
THEAT,Coke oven gas (TJ-gross),coke_oven_gas,process,,
THEAT,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
THEAT,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
TBOILER,Gas works gas (TJ-gross),gas_works_gas,process,,
TBOILER,Coke oven gas (TJ-gross),coke_oven_gas,process,,
TBOILER,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
TBOILER,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
TELE,Gas works gas (TJ-gross),gas_works_gas,process,,
TELE,Coke oven gas (TJ-gross),coke_oven_gas,process,,
TELE,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
TELE,Other recovered gases (TJ-gross),other_recovered_gases,process,,
,,,,,
FINCONS,Gas works gas (TJ-gross),gas_works_gas,process,,
FINCONS,Coke oven gas (TJ-gross),coke_oven_gas,process,,
FINCONS,Blast furnace gas (TJ-gross),blast_furnace_gas ,process,,
FINCONS,Other recovered gases (TJ-gross),other_recovered_gases,process,,
